country_id,neighbor_id
4,93
4,188
5,48
5,203
6,94
6,134
6,162
7,104
7,239
9,137
9,244
11,43
11,124
11,173
11,198
11,231
12,211
14,55
14,83
14,94
14,120
14,162
15,25
15,106
15,113
15,179
15,181
15,218
15,224
17,69
17,102
17,118
17,152
17,162
17,190
19,67
19,68
19,76
19,151
19,226
21,86
21,87
21,175
21,208
22,83
22,162
25,61
25,72
25,96
25,103
25,106
25,132
25,140
25,162
25,179
25,180
25,191
25,197
25,224
26,83
26,162
27,126
27,193
28,43
28,56
28,69
28,110
28,124
28,232
29,68
29,123
29,151
29,182
29,188
29,199
29,231
31,76
31,151
31,182
32,36
32,53
32,67
32,75
32,97
32,175
36,75
36,97
36,100
36,154
36,208
37,202
37,217
39,40
39,67
39,86
40,67
40,86
40,226
41,142
41,181
41,203
41,221
43,110
43,124
43,198
45,95
45,236
48,161
48,203
48,204
48,210
49,118
49,140
49,152
49,162
51,92
51,93
51,126
51,143
53,67
53,175
54,65
54,239
55,94
55,134
55,250
56,61
56,62
56,63
56,69
56,124
56,146
56,197
59,101
59,122
59,183
59,202
60,110
60,216
61,63
61,197
62,146
62,155
62,206
63,69
63,197
65,213
67,86
67,175
67,226
68,86
68,151
68,199
68,226
69,102
69,190
69,197
72,162
73,128
73,179
76,151
78,129
78,176
78,177
83,120
83,162
83,190
83,237
84,92
84,93
84,112
84,123
84,127
84,156
84,188
85,167
86,87
86,175
86,199
86,226
87,95
87,199
87,236
88,191
89,92
89,127
89,165
89,168
89,193
91,101
91,128
91,146
91,183
91,186
91,187
91,206
91,247
92,93
92,126
92,127
92,193
93,143
93,188
93,210
94,134
94,162
95,123
95,156
95,199
95,236
96,103
96,119
97,154
97,175
99,104
99,125
99,129
99,139
99,230
101,113
101,128
101,179
101,183
101,202
102,118
102,140
103,119
104,125
104,129
104,239
106,180
106,224
110,189
110,216
110,227
110,232
112,127
112,133
112,156
113,179
113,202
113,218
118,140
118,152
122,192
122,202
122,203
122,217
122,240
123,156
123,188
123,199
124,173
125,230
126,157
126,193
127,133
127,165
128,146
128,179
129,139
129,149
129,176
129,177
129,207
129,230
129,239
132,180
133,165
135,229
139,230
140,162
141,184
141,225
141,250
142,181
142,203
143,210
146,206
148,170
148,205
148,213
149,230
151,182
152,162
154,175
154,208
155,187
155,206
155,247
162,169
162,190
162,191
162,243
164,181
168,171
168,193
170,205
170,222
170,244
171,193
172,203
175,208
176,239
177,207
179,224
180,224
181,202
181,203
181,217
181,218
181,221
183,186
183,187
186,187
187,247
188,231
195,250
198,231
202,217
202,218
203,217
206,247
216,227
222,244
