country_id,lat,lng
4,36.8,10.18
5,42.5,1.52
6,21.03,105.85
7,-0.22,-78.5
8,18.47,-66.12
9,38.89,-77.05
10,-54.28,-36.5
11,31.77,35.23
12,51.5,-0.08
13,18.42,-64.62
14,19.76,96.07
15,52.25,21
16,21.46,-71.14
17,34.52,69.18
18,16.03,-61.73
19,-1.28,36.82
20,-14.27,-170.7
21,-8.83,13.22
22,27.47,89.63
23,35.88,14.5
24,49.18,-2.1
25,55.75,37.6
26,27.72,85.32
27,11.85,-15.58
28,33.33,44.4
29,15.6,32.53
30,-17.53,-149.56
31,11.58,43.15
32,-25.95,32.58
33,18.35,-64.93
34,12.52,-70.03
35,-15.93,-5.72
36,-25.7,28.22
37,47.13,9.52
38,0.34,6.73
39,-3.43,29.93
40,-1.95,30.05
41,50.83,4.33
42,13.48,144.75
43,31.95,35.93
44,15.2,145.75
45,3.75,8.78
46,7.1,171.38
47,-19.02,-169.92
48,40.4,-3.68
49,42.87,74.6
51,18.07,-15.97
52,-13.82,-171.77
53,-13.97,33.78
54,8.97,-79.53
55,13.75,100.52
56,39.93,32.87
57,14.6,120.97
58,-25.07,-130.08
59,46.05,14.52
60,24.47,54.37
61,41.68,44.83
62,37.98,23.73
63,40.17,44.5
64,-12.17,96.83
65,9.93,-84.09
66,1.33,172.98
67,-6.16,35.75
68,4.85,31.62
69,35.7,51.42
70,6.92,158.15
71,78.22,15.63
72,47.92,106.91
73,47.01,28.9
74,-41.3,174.78
75,-26.32,31.13
76,2.07,45.33
77,14,-61
78,6.8,-58.15
79,54.15,-4.48
80,62.01,-6.77
81,17.88,-62.85
82,-13.95,-171.93
83,28.6,77.2
84,13.52,2.12
85,18.02,-63.03
86,-4.32,15.3
87,-4.25,15.28
88,37.55,126.98
89,6.82,-5.27
90,4.17,73.51
91,44.83,20.5
92,12.65,-8
93,36.75,3.05
94,17.97,102.6
95,3.85,11.5
96,60.17,24.93
97,-17.82,31.03
98,16.7,-62.22
99,-19.02,-65.26
100,-29.32,27.48
101,47.5,19.08
102,37.95,58.38
103,59.92,10.75
104,-12.05,-77.05
105,23.12,-82.35
106,54.68,25.32
107,17.3,-62.72
108,49.45,-2.54
109,-20.15,57.48
110,24.65,46.7
111,12.1,-68.92
112,6.48,2.62
113,48.15,17.12
114,-7.3,72.4
115,-8.52,179.22
116,64.18,-51.75
117,14.92,-23.52
118,41.32,69.25
119,59.33,18.05
120,23.72,90.4
121,25.03,121.52
122,41.9,12.48
123,12.1,15.03
124,33.5,36.3
125,-33.45,-70.67
126,14.73,-17.63
127,12.37,-1.52
128,44.43,26.1
129,-15.79,-47.88
130,-12.78,45.22
131,15.3,-61.4
132,59.43,24.72
133,6.14,1.21
134,11.55,104.92
135,18.47,-69.9
136,-29.05,167.97
137,45.42,-75.7
138,48.81,-1.4
139,-25.28,-57.57
140,51.16,71.45
141,-6.17,106.82
142,49.6,6.12
143,-13.28,27.14
144,-11.7,43.23
145,17.12,-61.85
146,42.68,23.32
147,-51.7,-57.85
148,14.1,-87.22
149,-34.85,-56.17
150,46.77,-56.18
151,9.03,38.7
152,38.55,68.77
153,-9.38,-171.22
154,-24.63,25.9
155,41.32,19.82
156,9.08,7.53
157,13.45,-16.57
158,35.17,33.37
159,12.14,-68.27
160,-17.73,168.32
161,38.72,-9.13
162,39.92,116.38
163,1.28,103.85
164,55.67,12.58
165,5.55,-0.22
166,13.13,-61.22
167,18.07,-63.08
168,6.3,-10.8
169,22.267,114.188
170,14.62,-90.52
171,8.48,-13.23
172,43.73,7.42
173,33.87,35.5
174,-4.62,55.45
175,-15.42,28.28
176,10.48,-66.87
177,5.83,-55.17
178,-20.88,55.45
179,50.43,30.52
180,56.95,24.1
181,52.52,13.4
182,15.33,38.93
183,45.8,16
184,-9.45,147.18
185,7.5,134.62
186,43.87,18.42
187,42.43,19.27
188,32.88,13.17
189,25.28,51.53
190,33.68,73.05
191,39.02,125.75
192,43.94,12.45
193,9.5,-13.7
194,18.22,-63.05
195,4.88,114.93
196,-18.92,47.52
197,40.38,49.87
198,31.9,35.2
199,4.37,18.58
200,32.38,-64.68
201,26.23,50.57
202,48.2,16.37
203,48.87,2.33
204,36.13,-5.35
205,13.7,-89.2
206,42,21.43
207,4.94,-52.33
208,-22.57,17.08
209,-35.27,149.13
210,34.02,-6.82
211,53.32,-6.23
212,32.28,-64.78
213,12.13,-86.25
214,60.12,19.9
215,25.08,-77.35
216,23.62,58.58
217,46.92,7.47
218,50.08,14.47
219,64.15,-21.95
220,35.68,139.75
221,52.35,4.92
222,17.25,-88.77
223,13.1,-59.62
224,53.9,27.57
225,-8.58,125.6
226,0.32,32.55
227,15.37,44.19
228,14.6,-61.08
229,18.53,-72.33
230,-34.58,-58.67
231,30.05,31.25
232,29.37,47.97
233,19.3,-81.38
234,-21.2,-159.77
236,0.38,9.45
237,6.89,79.9
238,10.65,-61.52
239,4.71,-74.07
240,41.9,12.45
241,-10.42,105.68
244,19.43,-99.13
245,-22.27,166.45
246,-9.43,159.95
247,42.67,21.17
248,-0.55,166.92
249,-21.13,-175.2
250,3.17,101.7
251,-18.13,178.42
252,17.99702,-76.79358
