country_id,capital_kr
4,튀니스
5,안도라라베야
6,하노이
7,키토
8,산후안
9,워싱턴 D.C.
10,킹에드워드 포인트
11,예루살렘
12,런던
13,로드타운
14,네피도
15,바르샤바
16,코번타운
17,카불
18,바스테르
19,나이로비
20,파고파고
21,루안다
22,팀푸
23,발레타
24,세인트헬리어
25,모스크바
26,카트만두
27,비사우
28,바그다드
29,하르툼
30,파페에테
31,지부티
32,마푸투
33,샬럿 아말리에
34,오라녜스타트
35,제임스타운
36,블롬폰테인
36,케이프타운
36,프레토리아
37,파두츠
38,상투메
39,기테가
40,키갈리
41,브뤼셀
42,하가냐
43,암만
44,사이판
45,말라보
46,마주로
47,알로피
48,마드리드
49,비슈케크
51,누악쇼트
52,아피아
53,릴롱퀘
54,파나마시티
55,방콕
56,앙카라
57,마닐라
58,애덤스타운
59,류블랴나
60,아부다비
61,트빌리시
62,아테네
63,예레반
64,웨스트아일랜드
65,산호세
66,사우스 타라와
67,도도마
68,주바
69,테헤란
70,팔리키르
71,롱이어비엔
72,울란바토르
73,키시너우
74,웰링턴
75,음바바네
76,모가디슈
77,캐스트리스
78,조지타운
79,더글러스
80,토르스하운
81,귀스타비아
82,마타우투
83,뉴델리
84,니아메
85,필립스버그
86,킨샤사
87,브라자빌
88,서울
89,야무수크로
90,말레
91,베오그라드
92,바마코
93,알제
94,비엔티안
95,야운데
96,헬싱키
97,하라레
98,플리머스
99,수크레
100,마세루
101,부다페스트
102,아슈하바트
103,오슬로
104,리마
105,아바나
106,빌뉴스
107,바스테르
108,세인트피터포트
109,포트루이스
110,리야드
111,빌렘스타트
112,포르토노보
113,브라티슬라바
114,디에고가르시아
115,푸나푸티
116,누크
117,프라이아
118,타슈켄트
119,스톡홀름
120,다카
121,타이베이
122,로마
123,은자메나
124,다마스쿠스
125,산티아고
126,다카르
127,와가두구
128,부쿠레슈티
129,브라질리아
130,마뭄주
131,로조
132,탈린
133,로메
134,프놈펜
135,산토도밍고
136,킹스턴
137,오타와
138,포르토프랑세
139,아순시온
140,아스타나
141,자카르타
142,룩셈부르크
143,아이운
144,모로니
145,세인트존스
146,소피아
147,스탠리
148,테구시갈파
149,몬테비데오
150,생피에르
151,아디스아바바
152,두샨베
153,파카오포
154,가보로네
155,티라나
156,아부자
157,반줄
158,니코시아
159,크랄렌데이크
160,포트빌라
161,리스본
162,베이징
163,싱가포르
164,코펜하겐
165,아크라
166,킹스타운
167,마리고
168,몬로비아
169,빅토리아 시티
170,과테말라시티
171,프리타운
172,모나코
173,베이루트
174,빅토리아
175,루사카
176,카라카스
177,파라마리보
178,생드니
179,키이우
180,리가
181,베를린
182,아스마라
183,자그레브
184,포트모르즈비
185,응게룰무드
186,사라예보
187,포드고리차
188,트리폴리
189,도하
190,이슬라마바드
191,평양
192,산마리노 시
193,코나크리
194,더 밸리
195,반다르세리브가완
196,안타나나리보
197,바쿠
198,라말라
198,예루살렘
199,방기
200,세인트조지스
201,마나마
202,비엔나
203,파리
204,지브롤터
205,산살바도르
206,스코페
207,카옌
208,빈트후크
209,캔버라
210,라바트
211,더블린
212,해밀턴
213,마나구아
214,마리에함
215,나소
216,무스카트
217,베른
218,프라하
219,레이캬비크
220,도쿄
221,암스테르담
222,벨모판
223,브리지타운
224,민스크
225,딜리
226,캄팔라
227,사나
228,포르드프랑스
229,포르토프랭스
230,부에노스아이레스
231,카이로
232,쿠웨이트시티
233,조지타운
234,아바루아
236,리브르빌
237,스리자야와르데네푸라 코테
238,포트오브스페인
239,보고타
240,바티칸 시국
241,플라잉 피시 코브
244,멕시코시티
245,누메아
246,호니아라
247,프리슈티나
248,야렌
249,누쿠알로파
250,쿠알라룸푸르
251,수바
252,킹스턴
253,워싱턴 D.C.
