country_id,capital
4,Tunis
5,Andorra la Vella
6,Hanoi
7,Quito
8,San Juan
9,"Washington, D.C."
10,King Edward Point
11,Jerusalem
12,London
13,Road Town
14,Naypyidaw
15,Warsaw
16,Cockburn Town
17,Kabul
18,Basse-Terre
19,Nairobi
20,Pago Pago
21,Luanda
22,Thimphu
23,Valletta
24,Saint Helier
25,Moscow
26,Kathmandu
27,Bissau
28,Baghdad
29,Khartoum
30,Papeetē
31,Djibouti
32,Maputo
33,Charlotte Amalie
34,Oranjestad
35,Jamestown
36,Bloemfontein
36,Cape Town
36,Pretoria
37,Vaduz
38,São Tomé
39,Gitega
40,Kigali
41,Brussels
42,Hagåtña
43,Amman
44,Saipan
45,Malabo
46,Majuro
47,Alofi
48,Madrid
49,Bishkek
51,Nouakchott
52,Apia
53,Lilongwe
54,Panama City
55,Bangkok
56,Ankara
57,Manila
58,Adamstown
59,Ljubljana
60,Abu Dhabi
61,Tbilisi
62,Athens
63,Yerevan
64,West Island
65,San José
66,South Tarawa
67,Dodoma
68,Juba
69,Tehran
70,Palikir
71,Longyearbyen
72,Ulan Bator
73,Chișinău
74,Wellington
75,Mbabane
76,Mogadishu
77,Castries
78,Georgetown
79,Douglas
80,Tórshavn
81,Gustavia
82,Mata-Utu
83,New Delhi
84,Niamey
85,Philipsburg
86,Kinshasa
87,Brazzaville
88,Seoul
89,Yamoussoukro
90,Malé
91,Belgrade
92,Bamako
93,Algiers
94,Vientiane
95,Yaoundé
96,Helsinki
97,Harare
98,Plymouth
99,Sucre
100,Maseru
101,Budapest
102,Ashgabat
103,Oslo
104,Lima
105,Havana
106,Vilnius
107,Basseterre
108,St. Peter Port
109,Port Louis
110,Riyadh
111,Willemstad
112,Porto-Novo
113,Bratislava
114,Diego Garcia
115,Funafuti
116,Nuuk
117,Praia
118,Tashkent
119,Stockholm
120,Dhaka
121,Taipei
122,Rome
123,N'Djamena
124,Damascus
125,Santiago
126,Dakar
127,Ouagadougou
128,Bucharest
129,Brasília
130,Mamoudzou
131,Roseau
132,Tallinn
133,Lomé
134,Phnom Penh
135,Santo Domingo
136,Kingston
137,Ottawa
138,Port-aux-Français
139,Asunción
140,Astana
141,Jakarta
142,Luxembourg
143,El Aaiún
144,Moroni
145,Saint John's
146,Sofia
147,Stanley
148,Tegucigalpa
149,Montevideo
150,Saint-Pierre
151,Addis Ababa
152,Dushanbe
153,Fakaofo
154,Gaborone
155,Tirana
156,Abuja
157,Banjul
158,Nicosia
159,Kralendijk
160,Port Vila
161,Lisbon
162,Beijing
163,Singapore
164,Copenhagen
165,Accra
166,Kingstown
167,Marigot
168,Monrovia
169,City of Victoria
170,Guatemala City
171,Freetown
172,Monaco
173,Beirut
174,Victoria
175,Lusaka
176,Caracas
177,Paramaribo
178,Saint-Denis
179,Kyiv
180,Riga
181,Berlin
182,Asmara
183,Zagreb
184,Port Moresby
185,Ngerulmud
186,Sarajevo
187,Podgorica
188,Tripoli
189,Doha
190,Islamabad
191,Pyongyang
192,City of San Marino
193,Conakry
194,The Valley
195,Bandar Seri Begawan
196,Antananarivo
197,Baku
198,Jerusalem
198,Ramallah
199,Bangui
200,St. George's
201,Manama
202,Vienna
203,Paris
204,Gibraltar
205,San Salvador
206,Skopje
207,Cayenne
208,Windhoek
209,Canberra
210,Rabat
211,Dublin
212,Hamilton
213,Managua
214,Mariehamn
215,Nassau
216,Muscat
217,Bern
218,Prague
219,Reykjavik
220,Tokyo
221,Amsterdam
222,Belmopan
223,Bridgetown
224,Minsk
225,Dili
226,Kampala
227,Sana'a
228,Fort-de-France
229,Port-au-Prince
230,Buenos Aires
231,Cairo
232,Kuwait City
233,George Town
234,Avarua
236,Libreville
237,Sri Jayawardenepura Kotte
238,Port of Spain
239,Bogotá
240,Vatican City
241,Flying Fish Cove
244,Mexico City
245,Nouméa
246,Honiara
247,Pristina
248,Yaren
249,Nuku'alofa
250,Kuala Lumpur
251,Suva
252,Kingston
253,Washington DC
