country_id,continent
4,Africa
5,Europe
6,Asia
7,South America
8,North America
9,North America
10,Antarctica
11,Asia
12,Europe
13,North America
14,Asia
15,Europe
16,North America
17,Asia
18,North America
19,Africa
20,Oceania
21,Africa
22,Asia
23,Europe
24,Europe
25,Asia
25,Europe
26,Asia
27,Africa
28,Asia
29,Africa
30,Oceania
31,Africa
32,Africa
33,North America
34,North America
35,Africa
36,Africa
37,Europe
38,Africa
39,Africa
40,Africa
41,Europe
42,Oceania
43,Asia
44,Oceania
45,Africa
46,Oceania
47,Oceania
48,Europe
49,Asia
50,Antarctica
51,Africa
52,Oceania
53,Africa
54,North America
55,Asia
56,Asia
56,Europe
57,Asia
58,Oceania
59,Europe
60,Asia
61,Asia
62,Europe
63,Asia
64,Asia
65,North America
66,Oceania
67,Africa
68,Africa
69,Asia
70,Oceania
71,Europe
72,Asia
73,Europe
74,Oceania
75,Africa
76,Africa
77,North America
78,South America
79,Europe
80,Europe
81,North America
82,Oceania
83,Asia
84,Africa
85,North America
86,Africa
87,Africa
88,Asia
89,Africa
90,Asia
91,Europe
92,Africa
93,Africa
94,Asia
95,Africa
96,Europe
97,Africa
98,North America
99,South America
100,Africa
101,Europe
102,Asia
103,Europe
104,South America
105,North America
106,Europe
107,North America
108,Europe
109,Africa
110,Asia
111,North America
112,Africa
113,Europe
114,Asia
115,Oceania
116,North America
117,Africa
118,Asia
119,Europe
120,Asia
121,Asia
122,Europe
123,Africa
124,Asia
125,South America
126,Africa
127,Africa
128,Europe
129,South America
130,Africa
131,North America
132,Europe
133,Africa
134,Asia
135,North America
136,Oceania
137,North America
138,Antarctica
139,South America
140,Asia
141,Asia
142,Europe
143,Africa
144,Africa
145,North America
146,Europe
147,South America
148,North America
149,South America
150,North America
151,Africa
152,Asia
153,Oceania
154,Africa
155,Europe
156,Africa
157,Africa
158,Europe
159,North America
160,Oceania
161,Europe
162,Asia
163,Asia
164,Europe
165,Africa
166,North America
167,North America
168,Africa
169,Asia
170,North America
171,Africa
172,Europe
173,Asia
174,Africa
175,Africa
176,South America
177,South America
178,Africa
179,Europe
180,Europe
181,Europe
182,Africa
183,Europe
184,Oceania
185,Oceania
186,Europe
187,Europe
188,Africa
189,Asia
190,Asia
191,Asia
192,Europe
193,Africa
194,North America
195,Asia
196,Africa
197,Asia
197,Europe
198,Asia
199,Africa
200,North America
201,Asia
202,Europe
203,Europe
204,Europe
205,North America
206,Europe
207,South America
208,Africa
209,Oceania
210,Africa
211,Europe
212,North America
213,North America
214,Europe
215,North America
216,Asia
217,Europe
218,Europe
219,Europe
220,Asia
221,Europe
222,North America
223,North America
224,Europe
225,Oceania
226,Africa
227,Asia
228,North America
229,North America
230,South America
231,Africa
232,Asia
233,North America
234,Oceania
235,Antarctica
236,Africa
237,Asia
238,North America
239,South America
240,Europe
241,Asia
242,Antarctica
243,Asia
244,North America
245,Oceania
246,Oceania
247,Europe
248,Oceania
249,Oceania
250,Asia
251,Oceania
252,North America
253,Oceania
